Country,Ratification,treaty,Entry,Signature,Note,Territorial Application,Declarations,Reservations,Communication,Authorities,Denunciation,Effect denunciation,Objection
Belgium,21/9/1970,"Protocol No. 2 to the Convention for the Protection of Human Rights and Fundamental Freedoms, conferring upon the European Court of Human Rights competence to give advisory opinions",21/9/1970,5/6/1963,,,,,,,,,
Bosnia and Herzegovina,12/7/2002,"Protocol No. 2 to the Convention for the Protection of Human Rights and Fundamental Freedoms, conferring upon the European Court of Human Rights competence to give advisory opinions",12/7/2002,24/4/2002,49,,,,,,,,
Bulgaria,7/9/1992,"Protocol No. 2 to the Convention for the Protection of Human Rights and Fundamental Freedoms, conferring upon the European Court of Human Rights competence to give advisory opinions",7/9/1992,7/5/1992,49,,,,,,,,
Croatia,5/11/1997,"Protocol No. 2 to the Convention for the Protection of Human Rights and Fundamental Freedoms, conferring upon the European Court of Human Rights competence to give advisory opinions",5/11/1997,6/11/1996,49,,,,,,,,
Cyprus,22/1/1969,"Protocol No. 2 to the Convention for the Protection of Human Rights and Fundamental Freedoms, conferring upon the European Court of Human Rights competence to give advisory opinions",21/9/1970,19/9/1967,,,,,,,,,
Czech Republic,18/3/1992,"Protocol No. 2 to the Convention for the Protection of Human Rights and Fundamental Freedoms, conferring upon the European Court of Human Rights competence to give advisory opinions",1/1/1993,21/2/1991,26,,,,,,,,
Denmark,6/5/1963 s,"Protocol No. 2 to the Convention for the Protection of Human Rights and Fundamental Freedoms, conferring upon the European Court of Human Rights competence to give advisory opinions",21/9/1970,6/5/1963 s,,,,,,,,,
Estonia,16/4/1996,"Protocol No. 2 to the Convention for the Protection of Human Rights and Fundamental Freedoms, conferring upon the European Court of Human Rights competence to give advisory opinions",16/4/1996,14/5/1993,49,,,,,,,,
Finland,10/5/1990,"Protocol No. 2 to the Convention for the Protection of Human Rights and Fundamental Freedoms, conferring upon the European Court of Human Rights competence to give advisory opinions",10/5/1990,5/5/1989,,,,,,,,,
France,2/10/1981 s,"Protocol No. 2 to the Convention for the Protection of Human Rights and Fundamental Freedoms, conferring upon the European Court of Human Rights competence to give advisory opinions",2/10/1981,2/10/1981 s,,,,,,,,,
Georgia,20/5/1999,"Protocol No. 2 to the Convention for the Protection of Human Rights and Fundamental Freedoms, conferring upon the European Court of Human Rights competence to give advisory opinions",20/5/1999,27/4/1999,49,,,,,,,,
Germany,3/1/1969,"Protocol No. 2 to the Convention for the Protection of Human Rights and Fundamental Freedoms, conferring upon the European Court of Human Rights competence to give advisory opinions",21/9/1970,6/5/1963,,X,,,,,,,
Greece,8/1/1975,"Protocol No. 2 to the Convention for the Protection of Human Rights and Fundamental Freedoms, conferring upon the European Court of Human Rights competence to give advisory opinions",28/11/1974,28/11/1974,,,X,,,,,,
Hungary,5/11/1992,"Protocol No. 2 to the Convention for the Protection of Human Rights and Fundamental Freedoms, conferring upon the European Court of Human Rights competence to give advisory opinions",5/11/1992,6/11/1990,,,,,,,,,
Iceland,16/11/1967,"Protocol No. 2 to the Convention for the Protection of Human Rights and Fundamental Freedoms, conferring upon the European Court of Human Rights competence to give advisory opinions",21/9/1970,16/11/1967,,,,,,,,,
Ireland,12/9/1963,"Protocol No. 2 to the Convention for the Protection of Human Rights and Fundamental Freedoms, conferring upon the European Court of Human Rights competence to give advisory opinions",21/9/1970,6/5/1963,,,,,,,,,
Italy,3/4/1967,"Protocol No. 2 to the Convention for the Protection of Human Rights and Fundamental Freedoms, conferring upon the European Court of Human Rights competence to give advisory opinions",21/9/1970,6/5/1963,,,,,,,,,
Latvia,27/6/1997,"Protocol No. 2 to the Convention for the Protection of Human Rights and Fundamental Freedoms, conferring upon the European Court of Human Rights competence to give advisory opinions",27/6/1997,10/2/1995,49,,,,,,,,
Liechtenstein,8/9/1982,"Protocol No. 2 to the Convention for the Protection of Human Rights and Fundamental Freedoms, conferring upon the European Court of Human Rights competence to give advisory opinions",8/9/1982,23/11/1978,,,,,,,,,
Lithuania,20/6/1995,"Protocol No. 2 to the Convention for the Protection of Human Rights and Fundamental Freedoms, conferring upon the European Court of Human Rights competence to give advisory opinions",20/6/1995,14/5/1993,49,,,,,,,,
Luxembourg,27/10/1965,"Protocol No. 2 to the Convention for the Protection of Human Rights and Fundamental Freedoms, conferring upon the European Court of Human Rights competence to give advisory opinions",21/9/1970,6/5/1963,,,,,,,,,
Malta,23/1/1967,"Protocol No. 2 to the Convention for the Protection of Human Rights and Fundamental Freedoms, conferring upon the European Court of Human Rights competence to give advisory opinions",21/9/1970,12/12/1966,,,,,,,,,
Moldova,12/9/1997,"Protocol No. 2 to the Convention for the Protection of Human Rights and Fundamental Freedoms, conferring upon the European Court of Human Rights competence to give advisory opinions",12/9/1997,13/7/1995,49,,,,,,,,
Monaco,30/11/2005,"Protocol No. 2 to the Convention for the Protection of Human Rights and Fundamental Freedoms, conferring upon the European Court of Human Rights competence to give advisory opinions",30/11/2005,5/10/2004,49,,,,,,,,
Montenegro,3/3/2004,"Protocol No. 2 to the Convention for the Protection of Human Rights and Fundamental Freedoms, conferring upon the European Court of Human Rights competence to give advisory opinions",6/6/2006,3/4/2003,49,,,,,,,,
Netherlands,11/10/1966,"Protocol No. 2 to the Convention for the Protection of Human Rights and Fundamental Freedoms, conferring upon the European Court of Human Rights competence to give advisory opinions",21/9/1970,6/5/1963,,X,,,,,,,
Norway,12/6/1964,"Protocol No. 2 to the Convention for the Protection of Human Rights and Fundamental Freedoms, conferring upon the European Court of Human Rights competence to give advisory opinions",21/9/1970,6/5/1963,,,,,,,,,
Poland,19/1/1993,"Protocol No. 2 to the Convention for the Protection of Human Rights and Fundamental Freedoms, conferring upon the European Court of Human Rights competence to give advisory opinions",19/1/1993,26/11/1991,49,,,,,,,,
Portugal,9/11/1978,"Protocol No. 2 to the Convention for the Protection of Human Rights and Fundamental Freedoms, conferring upon the European Court of Human Rights competence to give advisory opinions",9/11/1978,27/1/1977,,,,,,,,,
Romania,20/6/1994,"Protocol No. 2 to the Convention for the Protection of Human Rights and Fundamental Freedoms, conferring upon the European Court of Human Rights competence to give advisory opinions",20/6/1994,7/10/1993,49,,,,,,,,
Russia,5/5/1998,"Protocol No. 2 to the Convention for the Protection of Human Rights and Fundamental Freedoms, conferring upon the European Court of Human Rights competence to give advisory opinions",5/5/1998,28/2/1996,49,,,,,,,,
San Marino,22/3/1989,"Protocol No. 2 to the Convention for the Protection of Human Rights and Fundamental Freedoms, conferring upon the European Court of Human Rights competence to give advisory opinions",22/3/1989,1/3/1989,,,,,,,,,
Serbia,3/3/2004,"Protocol No. 2 to the Convention for the Protection of Human Rights and Fundamental Freedoms, conferring upon the European Court of Human Rights competence to give advisory opinions",3/3/2004,3/4/2003,49,,,,,,,,
Slovakia,18/3/1992,"Protocol No. 2 to the Convention for the Protection of Human Rights and Fundamental Freedoms, conferring upon the European Court of Human Rights competence to give advisory opinions",1/6/1993,21/2/1991,49,,,,,,,,
Slovenia,28/6/1994,"Protocol No. 2 to the Convention for the Protection of Human Rights and Fundamental Freedoms, conferring upon the European Court of Human Rights competence to give advisory opinions",28/6/1994,14/5/1993,49,,,,,,,,
Spain,6/4/1982,"Protocol No. 2 to the Convention for the Protection of Human Rights and Fundamental Freedoms, conferring upon the European Court of Human Rights competence to give advisory opinions",6/4/1982,23/2/1978,,,,,,,,,
Sweden,13/6/1964,"Protocol No. 2 to the Convention for the Protection of Human Rights and Fundamental Freedoms, conferring upon the European Court of Human Rights competence to give advisory opinions",21/9/1970,6/5/1963,,,,,,,,,
Switzerland,28/11/1974,"Protocol No. 2 to the Convention for the Protection of Human Rights and Fundamental Freedoms, conferring upon the European Court of Human Rights competence to give advisory opinions",28/11/1974,21/12/1972,,,,,,,,,
Macedonia,10/4/1997,"Protocol No. 2 to the Convention for the Protection of Human Rights and Fundamental Freedoms, conferring upon the European Court of Human Rights competence to give advisory opinions",10/4/1997,9/11/1995,49,,,,,,,,
Turkey,25/3/1968,"Protocol No. 2 to the Convention for the Protection of Human Rights and Fundamental Freedoms, conferring upon the European Court of Human Rights competence to give advisory opinions",21/9/1970,6/5/1963,,,,,,,,,
Ukraine,11/9/1997,"Protocol No. 2 to the Convention for the Protection of Human Rights and Fundamental Freedoms, conferring upon the European Court of Human Rights competence to give advisory opinions",11/9/1997,9/11/1995,49,,,,,,,,
United Kingdom,6/5/1963 s,"Protocol No. 2 to the Convention for the Protection of Human Rights and Fundamental Freedoms, conferring upon the European Court of Human Rights competence to give advisory opinions",21/9/1970,6/5/1963 s,,,,,,,,,
Albania,2/10/1996,"Protocol No. 3 to the Convention for the Protection of Human Rights and Fundamental Freedoms, amending Articles 29, 30 and 34 of the Convention",2/10/1996,13/7/1995,43,,,,,,,,
Andorra,22/1/1996,"Protocol No. 3 to the Convention for the Protection of Human Rights and Fundamental Freedoms, amending Articles 29, 30 and 34 of the Convention",22/1/1996,10/11/1994,43,,,,,,,,
Armenia,26/4/2002,"Protocol No. 3 to the Convention for the Protection of Human Rights and Fundamental Freedoms, amending Articles 29, 30 and 34 of the Convention",26/4/2004,25/1/2002,43,,,,,,,,
Austria,29/5/1967,"Protocol No. 3 to the Convention for the Protection of Human Rights and Fundamental Freedoms, amending Articles 29, 30 and 34 of the Convention",21/9/1970,6/5/1963,,,,,,,,,
Azerbaijan,15/4/2002,"Protocol No. 3 to the Convention for the Protection of Human Rights and Fundamental Freedoms, amending Articles 29, 30 and 34 of the Convention",15/4/2002,25/1/2001,43,,,,,,,,
Belgium,21/9/1970,"Protocol No. 3 to the Convention for the Protection of Human Rights and Fundamental Freedoms, amending Articles 29, 30 and 34 of the Convention",21/9/1970,5/6/1963,,,,,,,,,
Bosnia and Herzegovina,12/7/2002,"Protocol No. 3 to the Convention for the Protection of Human Rights and Fundamental Freedoms, amending Articles 29, 30 and 34 of the Convention",12/7/2002,24/4/2002,43,,,,,,,,
Bulgaria,7/9/1992,"Protocol No. 3 to the Convention for the Protection of Human Rights and Fundamental Freedoms, amending Articles 29, 30 and 34 of the Convention",7/9/1992,7/5/1992,43,,,,,,,,
Croatia,5/11/1997,"Protocol No. 3 to the Convention for the Protection of Human Rights and Fundamental Freedoms, amending Articles 29, 30 and 34 of the Convention",5/11/1997,6/11/1996,43,,,,,,,,
Cyprus,22/1/1969,"Protocol No. 3 to the Convention for the Protection of Human Rights and Fundamental Freedoms, amending Articles 29, 30 and 34 of the Convention",21/9/1970,19/9/1967,,,,,,,,,
Czech Republic,18/3/1992,"Protocol No. 3 to the Convention for the Protection of Human Rights and Fundamental Freedoms, amending Articles 29, 30 and 34 of the Convention",1/1/1993,21/2/1991,26,,,,,,,,
